domain,site_type
about.usps.com,fed_gov_from_usa_dot_gov
acl.gov,fed_gov_from_usa_dot_gov
acus.gov,fed_gov_from_usa_dot_gov
cic.ndu.edu,fed_gov_from_usa_dot_gov
clerk.house.gov,fed_gov_from_usa_dot_gov
constitutioncenter.org,fed_gov_from_usa_dot_gov
dra.gov,fed_gov_from_usa_dot_gov
eca.state.gov,fed_gov_from_usa_dot_gov
goldwater.scholarsapply.org,fed_gov_from_usa_dot_gov
jfsc.ndu.edu,fed_gov_from_usa_dot_gov
juvenilecouncil.ojp.gov,fed_gov_from_usa_dot_gov
minorityhealth.hhs.gov,fed_gov_from_usa_dot_gov
nces.ed.gov,fed_gov_from_usa_dot_gov
nicic.gov,fed_gov_from_usa_dot_gov
nij.ojp.gov,fed_gov_from_usa_dot_gov
npic.orst.edu,fed_gov_from_usa_dot_gov
npin.cdc.gov,fed_gov_from_usa_dot_gov
oceanservice.noaa.gov,fed_gov_from_usa_dot_gov
oea.gov,fed_gov_from_usa_dot_gov
ofr.gov,fed_gov_from_usa_dot_gov
ojp.gov,fed_gov_from_usa_dot_gov
onrr.gov,fed_gov_from_usa_dot_gov
osc.gov,fed_gov_from_usa_dot_gov
otexa.trade.gov,fed_gov_from_usa_dot_gov
postalinspectors.uspis.gov,fed_gov_from_usa_dot_gov
rrb.gov,fed_gov_from_usa_dot_gov
stats.bls.gov,fed_gov_from_usa_dot_gov
studentaid.gov,fed_gov_from_usa_dot_gov
travel.state.gov,fed_gov_from_usa_dot_gov
usun.usmission.gov,fed_gov_from_usa_dot_gov
westpoint.edu,fed_gov_from_usa_dot_gov
www.abilityone.gov,fed_gov_from_usa_dot_gov
www.abmc.gov,fed_gov_from_usa_dot_gov
www.access-board.gov,fed_gov_from_usa_dot_gov
www.acf.hhs.gov,fed_gov_from_usa_dot_gov
www.achp.gov,fed_gov_from_usa_dot_gov
www.acquisition.gov,fed_gov_from_usa_dot_gov
www.adr.gov,fed_gov_from_usa_dot_gov
www.af.mil,fed_gov_from_usa_dot_gov
www.afrc.af.mil,fed_gov_from_usa_dot_gov
www.afrh.gov,fed_gov_from_usa_dot_gov
www.ahrq.gov,fed_gov_from_usa_dot_gov
www.alhurra.com,fed_gov_from_usa_dot_gov
www.ams.usda.gov,fed_gov_from_usa_dot_gov
www.amtrak.com,fed_gov_from_usa_dot_gov
www.aoc.gov,fed_gov_from_usa_dot_gov
www.aphis.usda.gov,fed_gov_from_usa_dot_gov
www.arc.gov,fed_gov_from_usa_dot_gov
www.archives.gov,fed_gov_from_usa_dot_gov
www.arctic.gov,fed_gov_from_usa_dot_gov
